evidence_id,supplier_id,event_category,event_subtype,event_severity,event_week,source_type
E‑S‑ACC125‑2,S‑ACC125,履约,项目延期,1,15,ITSM记录
E‑S‑ACC125‑3,S‑ACC125,舆情,行业投诉曝光,2,19,安全公告
E‑S‑ACC125‑99,S‑ACC125,经营,股东变动,3,26,工商公示
E‑S‑ACC126‑1,S‑ACC126,舆情,行业投诉曝光,2,17,安全公告
E‑S‑ACC126‑2,S‑ACC126,合规,合规巡检不通过,2,21,人力台账
E‑S‑ACC126‑3,S‑ACC126,合规,行政处罚,2,25,内部巡检
E‑S‑ACC126‑99,S‑ACC126,安全,数据泄露,3,32,监管公示
E‑S‑ACC127‑1,S‑ACC127,经营,经营亏损,1,17,人力台账
E‑S‑ACC127‑2,S‑ACC127,履约,批次交付延迟,1,21,安全公告
E‑S‑ACC127‑3,S‑ACC127,舆情,行业投诉曝光,1,25,人力台账
E‑S‑ACC127‑99,S‑ACC127,人员,核心人员离职,3,32,ITSM记录
E‑S‑ACC128‑1,S‑ACC128,经营,股东变动,2,10,安全公告
E‑S‑ACC128‑2,S‑ACC128,合规,行政处罚,1,14,人力台账
E‑S‑ACC128‑3,S‑ACC128,人员,关键岗位变动,1,18,安全公告
E‑S‑ACC128‑99,S‑ACC128,安全,内网安全告警,4,25,工商公示
E‑S‑ACC129‑1,S‑ACC129,安全,数据泄露,2,16,ITSM记录
E‑S‑ACC129‑2,S‑ACC129,人员,团队人员流失,2,20,ITSM记录
E‑S‑ACC129‑3,S‑ACC129,安全,数据泄露,1,24,人力台账
E‑S‑ACC129‑99,S‑ACC129,舆情,行业投诉曝光,4,31,监管公示
E‑S‑ACC130‑1,S‑ACC130,履约,批次交付延迟,2,12,工商公示
E‑S‑ACC130‑2,S‑ACC130,人员,团队人员流失,1,16,工商公示
E‑S‑ACC130‑3,S‑ACC130,舆情,网络负面舆情,2,20,监管公示
E‑S‑ACC130‑99,S‑ACC130,舆情,行业投诉曝光,4,27,ITSM记录
E‑S‑ACC131‑1,S‑ACC131,合规,合规巡检不通过,2,22,ITSM记录
E‑S‑ACC131‑2,S‑ACC131,履约,交付质量不达标,1,26,内部巡检
E‑S‑ACC131‑3,S‑ACC131,舆情,网络负面舆情,1,30,内部巡检
E‑S‑ACC131‑99,S‑ACC131,履约,批次交付延迟,4,37,人力台账
E‑S‑ACC132‑1,S‑ACC132,合规,监管问询,2,8,人力台账
E‑S‑ACC132‑2,S‑ACC132,经营,业务收缩,1,12,工商公示
E‑S‑ACC132‑3,S‑ACC132,安全,数据泄露,1,16,内部巡检
E‑S‑ACC132‑99,S‑ACC132,舆情,网络负面舆情,3,23,ITSM记录
E‑S‑ACC133‑1,S‑ACC133,履约,批次交付延迟,2,22,ITSM记录
E‑S‑ACC133‑2,S‑ACC133,舆情,行业投诉曝光,1,26,内部巡检
E‑S‑ACC133‑3,S‑ACC133,安全,漏洞上报,2,30,工商公示
E‑S‑ACC133‑99,S‑ACC133,经营,业务收缩,3,37,安全公告
E‑S‑ACC134‑1,S‑ACC134,人员,关键岗位变动,2,13,人力台账
E‑S‑ACC134‑2,S‑ACC134,安全,权限违规,1,17,人力台账
E‑S‑ACC134‑3,S‑ACC134,安全,数据泄露,1,21,ITSM记录
E‑S‑ACC134‑99,S‑ACC134,合规,合规巡检不通过,4,28,监管公示
E‑S‑ACC135‑1,S‑ACC135,履约,交付质量不达标,1,18,监管公示
E‑S‑ACC135‑2,S‑ACC135,安全,权限违规,1,22,工商公示
E‑S‑ACC135‑3,S‑ACC135,经营,股东变动,2,26,工商公示
E‑S‑ACC135‑99,S‑ACC135,安全,数据泄露,3,33,工商公示
E‑S‑ACC136‑1,S‑ACC136,舆情,网络负面舆情,2,8,工商公示
E‑S‑ACC136‑2,S‑ACC136,人员,团队人员流失,2,12,人力台账
E‑S‑ACC136‑3,S‑ACC136,履约,运维故障,2,16,安全公告
E‑S‑ACC136‑99,S‑ACC136,人员,核心人员离职,3,23,监管公示
E‑S‑ACC137‑1,S‑ACC137,舆情,行业投诉曝光,1,14,ITSM记录
E‑S‑ACC137‑2,S‑ACC137,舆情,网络负面舆情,2,18,安全公告
E‑S‑ACC137‑3,S‑ACC137,舆情,行业投诉曝光,1,22,安全公告
E‑S‑ACC137‑99,S‑ACC137,履约,项目延期,3,29,安全公告
E‑S‑ACC138‑1,S‑ACC138,合规,行政处罚,1,21,人力台账
E‑S‑ACC138‑2,S‑ACC138,人员,关键岗位变动,2,25,内部巡检
E‑S‑ACC138‑3,S‑ACC138,合规,行政处罚,1,29,监管公示
E‑S‑ACC138‑99,S‑ACC138,人员,关键岗位变动,4,36,监管公示
E‑S‑ACC139‑1,S‑ACC139,安全,漏洞上报,2,18,工商公示
E‑S‑ACC139‑2,S‑ACC139,履约,交付质量不达标,1,22,内部巡检
E‑S‑ACC139‑3,S‑ACC139,经营,经营亏损,1,26,安全公告
E‑S‑ACC139‑99,S‑ACC139,履约,项目延期,4,33,内部巡检
E‑S‑ACC140‑1,S‑ACC140,舆情,行业投诉曝光,2,20,监管公示
E‑S‑ACC140‑2,S‑ACC140,经营,业务收缩,2,24,内部巡检
E‑S‑ACC140‑3,S‑ACC140,舆情,网络负面舆情,2,28,内部巡检
E‑S‑ACC140‑99,S‑ACC140,人员,关键岗位变动,4,35,安全公告
E‑S‑ACC141‑1,S‑ACC141,履约,项目延期,2,21,监管公示
E‑S‑ACC141‑2,S‑ACC141,舆情,行业投诉曝光,2,25,ITSM记录
E‑S‑ACC141‑3,S‑ACC141,人员,团队人员流失,2,29,ITSM记录
E‑S‑ACC141‑99,S‑ACC141,安全,权限违规,3,36,内部巡检
E‑S‑ACC142‑1,S‑ACC142,人员,核心人员离职,1,11,安全公告
E‑S‑ACC142‑2,S‑ACC142,履约,批次交付延迟,1,15,ITSM记录
E‑S‑ACC142‑3,S‑ACC142,舆情,网络负面舆情,2,19,监管公示
E‑S‑ACC142‑99,S‑ACC142,人员,关键岗位变动,3,26,内部巡检
E‑S‑ACC143‑1,S‑ACC143,舆情,行业投诉曝光,2,11,ITSM记录
E‑S‑ACC143‑2,S‑ACC143,安全,权限违规,1,15,监管公示
E‑S‑ACC143‑3,S‑ACC143,安全,数据泄露,1,19,安全公告
E‑S‑ACC143‑99,S‑ACC143,合规,合规巡检不通过,3,26,人力台账
E‑S‑ACC144‑1,S‑ACC144,安全,内网安全告警,2,8,人力台账
E‑S‑ACC144‑2,S‑ACC144,经营,业务收缩,1,12,工商公示
E‑S‑ACC144‑3,S‑ACC144,经营,股东变动,2,16,ITSM记录
E‑S‑ACC144‑99,S‑ACC144,人员,团队人员流失,3,23,监管公示
E‑S‑ACC145‑1,S‑ACC145,合规,监管问询,2,16,ITSM记录
E‑S‑ACC145‑2,S‑ACC145,安全,权限违规,2,20,人力台账
E‑S‑ACC145‑3,S‑ACC145,履约,批次交付延迟,2,24,内部巡检
E‑S‑ACC145‑99,S‑ACC145,合规,合规巡检不通过,3,31,内部巡检
E‑S‑ACC146‑1,S‑ACC146,履约,交付质量不达标,1,21,监管公示
E‑S‑ACC146‑2,S‑ACC146,人员,团队人员流失,2,25,内部巡检
E‑S‑ACC146‑3,S‑ACC146,人员,核心人员离职,1,29,人力台账
E‑S‑ACC146‑99,S‑ACC146,经营,股东变动,3,36,监管公示
E‑S‑ACC147‑1,S‑ACC147,经营,经营亏损,2,14,工商公示
E‑S‑ACC147‑2,S‑ACC147,安全,内网安全告警,2,18,内部巡检
E‑S‑ACC147‑3,S‑ACC147,舆情,行业投诉曝光,2,22,ITSM记录
E‑S‑ACC147‑99,S‑ACC147,安全,数据泄露,4,29,内部巡检
E‑S‑ACC148‑1,S‑ACC148,安全,内网安全告警,2,8,ITSM记录
E‑S‑ACC148‑2,S‑ACC148,人员,团队人员流失,1,12,监管公示
E‑S‑ACC148‑3,S‑ACC148,合规,监管问询,2,16,安全公告
E‑S‑ACC148‑99,S‑ACC148,舆情,行业投诉曝光,4,23,监管公示
E‑S‑ACC149‑1,S‑ACC149,人员,关键岗位变动,2,15,ITSM记录
E‑S‑ACC149‑2,S‑ACC149,人员,关键岗位变动,2,19,ITSM记录
E‑S‑ACC149‑3,S‑ACC149,合规,合规巡检不通过,1,23,安全公告
E‑S‑ACC149‑99,S‑ACC149,履约,项目延期,3,30,内部巡检
E‑S‑ACC150‑1,S‑ACC150,舆情,网络负面舆情,1,9,ITSM记录
E‑S‑ACC150‑2,S‑ACC150,合规,行政处罚,2,13,内部巡检
E‑S‑ACC150‑3,S‑ACC150,合规,合规巡检不通过,2,17,人力台账
E‑S‑ACC150‑99,S‑ACC150,经营,股权变更,3,24,安全公告
E‑S‑ACC151‑1,S‑ACC151,舆情,行业投诉曝光,2,16,内部巡检
E‑S‑ACC151‑2,S‑ACC151,合规,合规巡检不通过,2,20,ITSM记录
E‑S‑ACC151‑3,S‑ACC151,履约,项目延期,1,24,ITSM记录
E‑S‑ACC151‑99,S‑ACC151,人员,关键岗位变动,4,31,工商公示
E‑S‑ACC152‑1,S‑ACC152,经营,业务收缩,1,13,人力台账
E‑S‑ACC152‑2,S‑ACC152,人员,团队人员流失,1,17,人力台账
E‑S‑ACC152‑3,S‑ACC152,舆情,网络负面舆情,1,21,监管公示
E‑S‑ACC152‑99,S‑ACC152,经营,业务收缩,4,28,内部巡检
E‑S‑ACC153‑1,S‑ACC153,经营,业务收缩,2,9,安全公告
E‑S‑ACC153‑2,S‑ACC153,履约,项目延期,1,13,ITSM记录
E‑S‑ACC153‑3,S‑ACC153,舆情,行业投诉曝光,2,17,内部巡检
E‑S‑ACC153‑99,S‑ACC153,履约,运维故障,3,24,ITSM记录
E‑S‑ACC154‑1,S‑ACC154,人员,关键岗位变动,2,17,内部巡检
E‑S‑ACC154‑2,S‑ACC154,安全,权限违规,1,21,安全公告
E‑S‑ACC154‑3,S‑ACC154,经营,经营亏损,2,25,人力台账
E‑S‑ACC154‑99,S‑ACC154,人员,关键岗位变动,3,32,安全公告
E‑S‑ACC155‑1,S‑ACC155,经营,股东变动,1,9,工商公示
E‑S‑ACC155‑2,S‑ACC155,合规,合规巡检不通过,2,13,工商公示
E‑S‑ACC155‑3,S‑ACC155,履约,运维故障,2,17,监管公示
E‑S‑ACC155‑99,S‑ACC155,人员,团队人员流失,4,24,监管公示
E‑S‑ACC156‑1,S‑ACC156,合规,行政处罚,1,9,人力台账
E‑S‑ACC156‑2,S‑ACC156,履约,项目延期,2,13,ITSM记录
E‑S‑ACC156‑3,S‑ACC156,经营,股东变动,2,17,工商公示
E‑S‑ACC156‑99,S‑ACC156,安全,漏洞上报,3,24,内部巡检
E‑S‑ACC157‑1,S‑ACC157,人员,核心人员离职,1,9,监管公示
E‑S‑ACC157‑2,S‑ACC157,经营,业务收缩,1,13,内部巡检
E‑S‑ACC157‑3,S‑ACC157,履约,运维故障,1,17,安全公告
E‑S‑ACC157‑99,S‑ACC157,合规,行政处罚,4,24,内部巡检
E‑S‑ACC158‑1,S‑ACC158,合规,监管问询,1,19,人力台账
E‑S‑ACC158‑2,S‑ACC158,经营,股东变动,1,23,工商公示
E‑S‑ACC158‑3,S‑ACC158,安全,数据泄露,2,27,ITSM记录
E‑S‑ACC158‑99,S‑ACC158,履约,交付质量不达标,4,34,工商公示
E‑S‑ACC159‑1,S‑ACC159,安全,权限违规,2,13,安全公告
E‑S‑ACC159‑2,S‑ACC159,合规,监管问询,2,17,内部巡检
E‑S‑ACC159‑3,S‑ACC159,人员,团队人员流失,1,21,监管公示
E‑S‑ACC159‑99,S‑ACC159,安全,内网安全告警,4,28,监管公示
E‑S‑ACC160‑1,S‑ACC160,安全,权限违规,2,12,工商公示
E‑S‑ACC160‑2,S‑ACC160,人员,团队人员流失,2,16,工商公示
E‑S‑ACC160‑3,S‑ACC160,舆情,行业投诉曝光,1,20,工商公示
E‑S‑ACC160‑99,S‑ACC160,经营,经营亏损,4,27,工商公示
E‑S‑SUD161‑B,S‑SUD161,安全,重大数据泄露,4,42,安全公告
E‑S‑SUD162‑B,S‑SUD162,安全,重大数据泄露,4,39,安全公告
E‑S‑SUD163‑B,S‑SUD163,安全,重大数据泄露,5,38,安全公告
E‑S‑SUD164‑B,S‑SUD164,安全,重大数据泄露,4,33,安全公告
E‑S‑SUD165‑B,S‑SUD165,安全,重大数据泄露,5,27,安全公告
E‑S‑SUD166‑B,S‑SUD166,安全,重大数据泄露,5,42,安全公告
E‑S‑SUD167‑B,S‑SUD167,安全,重大数据泄露,4,42,安全公告
E‑S‑SUD168‑B,S‑SUD168,安全,重大数据泄露,4,30,安全公告
E‑S‑SUD169‑B,S‑SUD169,安全,重大数据泄露,5,35,安全公告
E‑S‑SUD170‑B,S‑SUD170,安全,重大数据泄露,4,32,安全公告
E‑S‑SUD171‑B,S‑SUD171,安全,重大数据泄露,4,41,安全公告
E‑S‑SUD172‑B,S‑SUD172,安全,重大数据泄露,5,28,安全公告
E‑S‑SUD173‑B,S‑SUD173,安全,重大数据泄露,4,28,安全公告
E‑S‑SUD174‑B,S‑SUD174,安全,重大数据泄露,5,31,安全公告
E‑S‑SUD175‑B,S‑SUD175,安全,重大数据泄露,5,39,安全公告
E‑S‑SUD176‑B,S‑SUD176,安全,重大数据泄露,5,25,安全公告
E‑S‑SUD177‑B,S‑SUD177,安全,重大数据泄露,4,32,安全公告
E‑S‑SUD178‑B,S‑SUD178,安全,重大数据泄露,4,39,安全公告
E‑S‑SUD179‑B,S‑SUD179,安全,重大数据泄露,5,38,安全公告
E‑S‑SUD180‑B,S‑SUD180,安全,重大数据泄露,5,39,安全公告
E‑S‑REC181‑1,S‑REC181,履约,项目延期,2,13,ITSM记录
E‑S‑REC181‑2,S‑REC181,人员,核心人员离职,3,19,人力台账
E‑S‑REC182‑1,S‑REC182,履约,项目延期,2,19,ITSM记录
E‑S‑REC182‑2,S‑REC182,人员,核心人员离职,3,25,人力台账
E‑S‑REC183‑1,S‑REC183,履约,项目延期,2,15,ITSM记录
E‑S‑REC183‑2,S‑REC183,人员,核心人员离职,3,21,人力台账
E‑S‑REC184‑1,S‑REC184,履约,项目延期,2,14,ITSM记录
E‑S‑REC184‑2,S‑REC184,人员,核心人员离职,3,20,人力台账
E‑S‑REC185‑1,S‑REC185,履约,项目延期,2,19,ITSM记录
E‑S‑REC185‑2,S‑REC185,人员,核心人员离职,3,25,人力台账
E‑S‑REC186‑1,S‑REC186,履约,项目延期,2,15,ITSM记录
E‑S‑REC186‑2,S‑REC186,人员,核心人员离职,3,21,人力台账
E‑S‑REC187‑1,S‑REC187,履约,项目延期,2,20,ITSM记录
E‑S‑REC187‑2,S‑REC187,人员,核心人员离职,3,26,人力台账
E‑S‑REC188‑1,S‑REC188,履约,项目延期,2,20,ITSM记录
E‑S‑REC188‑2,S‑REC188,人员,核心人员离职,3,26,人力台账
E‑S‑REC189‑1,S‑REC189,履约,项目延期,2,14,ITSM记录
E‑S‑REC189‑2,S‑REC189,人员,核心人员离职,3,20,人力台账
E‑S‑REC190‑1,S‑REC190,履约,项目延期,2,18,ITSM记录
E‑S‑REC190‑2,S‑REC190,人员,核心人员离职,3,24,人力台账
E‑S‑REC191‑1,S‑REC191,履约,项目延期,2,19,ITSM记录
E‑S‑REC191‑2,S‑REC191,人员,核心人员离职,3,25,人力台账
E‑S‑REC192‑1,S‑REC192,履约,项目延期,2,20,ITSM记录
E‑S‑REC192‑2,S‑REC192,人员,核心人员离职,3,26,人力台账
E‑S‑REC193‑1,S‑REC193,履约,项目延期,2,18,ITSM记录
E‑S‑REC193‑2,S‑REC193,人员,核心人员离职,3,24,人力台账
E‑S‑REC194‑1,S‑REC194,履约,项目延期,2,12,ITSM记录
E‑S‑REC194‑2,S‑REC194,人员,核心人员离职,3,18,人力台账
E‑S‑REC195‑1,S‑REC195,履约,项目延期,2,15,ITSM记录
E‑S‑REC195‑2,S‑REC195,人员,核心人员离职,3,21,人力台账
E‑S‑REC196‑1,S‑REC196,履约,项目延期,2,16,ITSM记录
E‑S‑REC196‑2,S‑REC196,人员,核心人员离职,3,22,人力台账
E‑S‑REC197‑1,S‑REC197,履约,项目延期,2,16,ITSM记录
E‑S‑REC197‑2,S‑REC197,人员,核心人员离职,3,22,人力台账
E‑S‑REC198‑1,S‑REC198,履约,项目延期,2,17,ITSM记录
E‑S‑REC198‑2,S‑REC198,人员,核心人员离职,3,23,人力台账
E‑S‑REC199‑1,S‑REC199,履约,项目延期,2,13,ITSM记录
E‑S‑REC199‑2,S‑REC199,人员,核心人员离职,3,19,人力台账
E‑S‑REC200‑1,S‑REC200,履约,项目延期,2,18,ITSM记录
E‑S‑REC200‑2,S‑REC200,人员,核心人员离职,3,24,人力台账
NEV‑SX001,S‑NOR079,失信,失信被执行,5,9,司法公示
NEV‑SX002,S‑ACC160,失信,失信被执行,3,30,司法公示
NEV‑SX003,S‑REC187,失信,失信被执行,3,37,司法公示
NEV‑SX004,S‑REC197,失信,失信被执行,3,19,司法公示
NEV‑SX005,S‑NOR071,失信,失信被执行,5,8,司法公示
NEV‑SX006,S‑NOR013,失信,失信被执行,5,6,司法公示
NEV‑SX007,S‑NOR056,失信,失信被执行,5,25,司法公示
NEV‑SX008,S‑NOR062,失信,失信被执行,3,49,司法公示
NEV‑SX009,S‑NOR092,失信,经营异常名录,3,34,工商公示
NEV‑SX010,S‑NOR069,失信,经营异常名录,4,21,工商公示
NEV‑SX011,S‑NOR039,失信,经营异常名录,2,27,工商公示
NEV‑SX012,S‑ACC118,失信,经营异常名录,2,41,工商公示
NEV‑SX013,S‑NOR006,失信,经营异常名录,4,23,工商公示
NEV‑SX014,S‑NOR078,失信,经营异常名录,2,22,工商公示
NEV‑SX015,S‑NOR014,失信,严重违法失信,4,46,司法公示
NEV‑SX016,S‑NOR033,失信,严重违法失信,4,2,司法公示
NEV‑SX017,S‑NOR049,失信,严重违法失信,4,31,司法公示
NEV‑DJ001,S‑NOR012,司法,诉讼案件,2,7,司法公示
NEV‑DJ002,S‑NOR019,司法,诉讼案件,4,17,司法公示
NEV‑DJ003,S‑NOR067,司法,诉讼案件,2,4,司法公示
NEV‑DJ004,S‑SUD173,司法,诉讼案件,3,3,司法公示
NEV‑DJ005,S‑REC183,司法,诉讼案件,3,43,司法公示
NEV‑DJ006,S‑ACC133,司法,诉讼案件,4,18,司法公示
NEV‑DJ007,S‑NOR025,司法,诉讼案件,4,13,司法公示
NEV‑DJ008,S‑SUD163,司法,诉讼案件,3,12,司法公示
NEV‑DJ009,S‑ACC147,司法,法院公告,2,38,司法公示
NEV‑DJ010,S‑SUD172,司法,法院公告,4,32,司法公示
NEV‑DJ011,S‑NOR088,司法,法院公告,4,42,司法公示
NEV‑DJ012,S‑NOR096,司法,法院公告,4,44,司法公示
NEV‑DJ013,S‑NOR052,司法,法院公告,3,40,司法公示
NEV‑IP001,S‑NOR057,知识产权,专利侵权,3,11,司法公示
NEV‑IP002,S‑ACC149,知识产权,专利侵权,2,5,司法公示
NEV‑IP003,S‑NOR094,知识产权,专利侵权,2,33,司法公示
NEV‑IP004,S‑ACC157,知识产权,专利侵权,4,14,司法公示
NEV‑IP005,S‑ACC140,知识产权,专利侵权,4,24,司法公示
NEV‑IP006,S‑REC198,知识产权,专利侵权,2,15,司法公示
NEV‑IP007,S‑SUD171,知识产权,商标权属纠纷,3,36,司法公示
NEV‑IP008,S‑ACC148,知识产权,商标权属纠纷,3,16,司法公示
NEV‑IP009,S‑NOR104,知识产权,商标权属纠纷,2,29,司法公示
NEV‑IP010,S‑NOR086,知识产权,商标权属纠纷,2,35,司法公示
NEV‑IP011,S‑ACC134,知识产权,商标权属纠纷,3,45,司法公示
NEV‑IP012,S‑NOR110,知识产权,软件著作权纠纷,3,10,司法公示
NEV‑IP013,S‑ACC127,知识产权,软件著作权纠纷,2,20,司法公示
NEV‑IP014,S‑NOR022,知识产权,软件著作权纠纷,3,47,司法公示
NEV‑IP015,S‑NOR063,知识产权,软件著作权纠纷,2,39,司法公示
NEV‑IP016,S‑SUD177,知识产权,软件著作权纠纷,2,48,司法公示
NEV‑IP017,S‑REC192,知识产权,知识产权许可纠纷,2,26,工商公示
NEV‑IP018,S‑REC196,知识产权,知识产权许可纠纷,2,28,工商公示
NEV‑IP019,S‑NOR074,知识产权,知识产权许可纠纷,1,50,工商公示
NEV‑IP020,S‑NOR040,知识产权,知识产权许可纠纷,3,9,工商公示
